station,longitude,latitude,elevation,depth_t,uncert_t,qual_t,depth_c,uncert_c,qual_c,depth_m,uncert_m,qual_m,thick0,thick1,thick2,vs0,vs1,vs2,vpvs0,vpvs1,vpvs2,strike,dip
PO.VI57,-126.101,49.839,0.17,23.6888,2.1,C,33.8226,2.1,C,40.0537,2.1,C,23.8588,10.1338,6.2311,3.7417,2.4674,3.4668,1.7430310000000002,1.9691169999999998,1.7711430000000001,-47.1,18.1
CN.GDR,-126.056,49.781000000000006,0.12,23.4945,0.7,A,31.0825,2.1,A,34.6029,1.4,B,23.6145,7.588,3.5204,3.5273,2.2232,3.4062,1.736172,1.7740639999999999,1.772973,-29.6,10.2
C8.MWAB,-125.303,49.74100000000001,1.18,35.8162,6.4,C,46.8524,6.4,C,51.1863,6.4,C,36.9962,11.0362,4.3339,3.9154,3.0987,3.6652,1.817822,1.999064,1.903607,-19.1,29.8
CN.TXDB,-124.43799999999999,49.698,0.5,48.6419,2.1,A,52.8675,3.6,A,57.1452,3.6,A,49.1419,4.2256,4.2777,3.5474,1.3101,3.4466,1.709224,3.4940839999999995,1.9059650000000001,7.5,44.8
CN.SHB,-123.87700000000001,49.599,1.13,53.147,6.4,X,59.3868,6.4,X,61.358,6.4,X,54.277,6.2398,1.9712,3.7877,1.3111,3.9356,1.7959180000000001,2.590344,1.907714,75.2,42.1
CN.NTKA,-126.617,49.592,0.01,21.1898,2.1,A,21.4536,1.4,A,29.0917,2.1,A,21.1998,0.2638,7.6381,3.5057,2.4903,3.9177,1.845937,1.7766529999999998,1.817163,-41.1,11.1
CN.MYRA,-125.57,49.551,0.63,28.248,2.9,A,33.3081,1.4,A,38.4318,1.4,A,28.878,5.0601,5.1237,3.9458,1.7861,3.2653,1.804602,1.8973740000000001,1.7907080000000002,-22.3,14.8
CN.BTB,-125.523,49.468999999999994,1.61,24.8338,1.4,A,31.0542,2.9,A,34.1431,2.1,B,26.4438,6.2204,3.0889,3.6866,2.1428,3.2734,1.8587040000000001,1.771607,1.774607,-29.9,7.8
PO.PIMB,-122.666,49.273999999999994,0.04,48.1047,6.4,X,60.0579,6.4,X,60.5478,6.4,X,48.1447,11.9532,0.4899,3.5128,1.3822,4.0483,1.8571509999999998,2.971639,1.776672,-40.7,42.5
CN.NLLB,-123.988,49.227,0.2,45.5361,2.9,A,52.6001,2.9,B,57.719,2.9,A,45.7361,7.064,5.1189,3.957,2.5903,3.3354,1.7508970000000001,1.9901939999999998,1.7715720000000001,-30.0,19.4
CN.PABB,-124.811,49.218999999999994,0.04,31.7608,1.4,A,35.9169,1.4,A,37.8268,1.4,A,31.8008,4.1561,1.9099,3.9107,2.6562,3.4798,1.705603,3.4832089999999996,1.7797290000000001,-25.2,2.7
PO.HBDB,-122.213,49.17,0.01,54.2782,6.4,X,60.7291,6.4,X,68.9378,6.4,X,54.2882,6.4509,8.2087,3.7656,1.8677,4.0493,1.785824,3.3335120000000003,1.7749240000000002,-89.5,22.0
C8.TOFB,-125.90799999999999,49.153999999999996,0.01,18.2655,1.4,A,21.5306,1.4,A,28.737,2.9,A,18.2755,3.2651,7.2064,3.5313,1.3238,3.34,1.751338,2.61044,1.909641,-29.7,12.7
PO.ENGB,-123.089,49.008,0.06,36.6892,2.1,B,42.769,6.4,X,53.8432,6.4,X,36.7492,6.0798,11.0742,3.6331,2.0297,3.2688,1.823264,2.743164,1.908743,-31.7,8.3
CN.MGRB,-124.697,49.0,1.31,26.4223,1.4,A,30.2536,2.1,A,35.142,2.1,A,27.7323,3.8313,4.8884,3.788,2.368,3.2618,1.808791,1.7725509999999998,1.898553,-29.6,9.0
